,attachments,author_id,conversation_id,created_at,edit_history_tweet_ids,geo,id,in_reply_to_user_id,text,origen
0,{'media_keys': ['3_1591075905711095809']},828358302,1591075909645520899,2022-11-11 14:30:32+00:00,['1591075909645520899'],,1591075909645520899,,"🔙 4 años de la final de ida de la #Libertadores 2018 🏆

#River ⚪🔴 2-2 🔵🟡 #Boca https://t.co/Bho4Oe7RQ7",Boca
1,,814132591469150208,1591075905761431554,2022-11-11 14:30:31+00:00,['1591075905761431554'],,1591075905761431554,,"Vienen a la carga por Valentín Barco, ¿qué va a hacer Boca? #Boca #DaleBocaEh | Olé https://t.co/cvdG03yDOb",Boca
2,{'media_keys': ['3_1591075822319935489']},1563975608073428993,1591075831589502978,2022-11-11 14:30:13+00:00,['1591075831589502978'],,1591075831589502978,,"EL EX BOCA QUE REVELÓ SU SALIDA: ""HABLÉ CON RIQUELME Y LE DIJE..."" 💬

Un jugador que se fue de #Boca por lo bajo se refirió a la conversación que tuvo con Juan Román #Riquelme para despejar dudas de su salida.

👉 https://t.co/sxfDJAuAwp https://t.co/yrTWOqJ91f",Boca
3,,190697412,1591075667856461824,2022-11-11 14:29:34+00:00,['1591075667856461824'],,1591075667856461824,,EL SENIOR GANÓ Y VA CONTRA #BOCA POR EL PASE A LA FINAL. https://t.co/8eYlBXXxdA,Boca
4,,41638616,1591074700809375745,2022-11-11 14:25:44+00:00,['1591074700809375745'],,1591074700809375745,,"El ex #Boca, Leandro Paredes, fue ratificadown la lista de los 26 de Scaloni.",Boca
5,{'media_keys': ['7_1591073125147500544']},226811485,1591073095573393409,2022-11-11 14:19:39+00:00,['1591073172409180160'],,1591073172409180160,226811485.0,"""ALCARAZ NO SE MERECÍA SEMEJANTE SANCIÓN POR SOLAMENTE SACARSE LA CAMISETA"" 💬

👉 El presidente de #Racing se refirió a las sanciones a los jugadores luego de sus expulsiones ante #Boca. https://t.co/dtmZJi9Nuj",Boca
6,{'media_keys': ['3_1591072848738762752']},1344478423809482757,1591072856758255623,2022-11-11 14:18:24+00:00,['1591072856758255623'],,1591072856758255623,,Mostra o tamanho de sua língua aqui. #linguagrande #Boca #sexy https://t.co/ljRq2RUG5H,Boca
7,{'media_keys': ['3_1591069089979666432']},259560903,1591069099354120192,2022-11-11 14:03:28+00:00,['1591069099354120192'],,1591069099354120192,,#ManuelRocha en la galería #Boca Bucareli #arte en #CDMX https://t.co/otzYpVaMka,Boca
8,,814132591469150208,1591068417645285379,2022-11-11 14:00:46+00:00,['1591068417645285379'],,1591068417645285379,,Boca le mete presión a Tigre por Mateo Retegui #Boca #DaleBocaEh | Olé https://t.co/9GnMqam8zF,Boca
9,,1193747653,1591067744480374784,2022-11-11 13:58:05+00:00,['1591067744480374784'],,1591067744480374784,,¡Diarios  está disponible! https://t.co/DPd4Ut68sG Gracias a @adnrionegro #opinión #boca,Boca
10,,1159819188153794560,1591067470839746560,2022-11-11 13:57:00+00:00,['1591067470839746560'],,1591067470839746560,,"++-comprate el album panini QATAR 2022 completo electronico
aqui: https://t.co/v5UYXZ36br
 #Atletico #AtleticoMadrid #AtleticoGrau 
#DeportivoCuenca #DeportivoAlaves #deportivocali108años 
#DeportesHOY #River #Boca #BocaCampeonDelMundo 
#BocaJunior #Tucumán #Emelec #millonarios",Boca
11,,1159819188153794560,1591066715655389186,2022-11-11 13:54:00+00:00,['1591066715655389186'],,1591066715655389186,,"+-comprate el album panini QATAR 2022 completo electronico
aqui: https://t.co/v5UYXYLvjT
 #Atletico #AtleticoMadrid #AtleticoGrau 
#DeportivoCuenca #DeportivoAlaves #deportivocali108años 
#DeportesHOY #River #Boca #BocaCampeonDelMundo 
#BocaJunior #Tucumán #Emelec #millonarios",Boca
12,,1275223381,1591064107041845248,2022-11-11 13:43:38+00:00,['1591064107041845248'],,1591064107041845248,,¡Xeneize News está disponible! https://t.co/uPShhP9Mvp Gracias a @Tincho_MS @ESPNArgentina #boca #golcaracol,Boca
13,{'media_keys': ['3_1591062115275755521']},740706352721502210,1591062619003420678,2022-11-11 13:37:43+00:00,['1591062619003420678'],,1591062619003420678,,"🚨 NEGOCIACIÓN CON ROSSI

#Boca realizará una nueva oferta para renovar el contrato del arquero con el club. 

💬 La oferta de contrato de #Flamengo es SUPERADORA a la de #Fiorentina https://t.co/A1ayGjR8Nz",Boca
