,attachments,author_id,conversation_id,created_at,edit_history_tweet_ids,id,in_reply_to_user_id,text,origen,geo
0,{'media_keys': ['3_1591076986658738177']},896083788098416641,1591077073795584003,2022-11-11 14:35:09+00:00,['1591077073795584003'],1591077073795584003,,"Visitanos en https://t.co/dtXV8gP3AU
#Mercados #Dolar #Cedear https://t.co/IC27IPrgKy",dolar,
1,,150720110,1591058307950825472,2022-11-11 14:33:01+00:00,['1591076535590473728'],1591076535590473728,18079284.0,@RevistaSemana este man si es el propio 🤡🤡🤡🤡 y ya existe se LLAMA #dolar 💵 sopenco 😂😂😂😂,dolar,
2,{'media_keys': ['3_1591076460151840768']},1061357663827779584,1591076464228986881,2022-11-11 14:32:44+00:00,['1591076464228986881'],1591076464228986881,,"Tasa Petro  viernes 11-11-2022

Luis Elvis Oficial 
SIGUEME EN MIS REDES SOCIALES 
dale al link 
https://t.co/AEXxkAiiPE

#Luiselvis #Petro
#venezuela #dólar #economía https://t.co/JUy5WWtSvB",dolar,
3,{'media_keys': ['3_1591076264886116355']},896083788098416641,1591076358888706048,2022-11-11 14:32:19+00:00,['1591076358888706048'],1591076358888706048,,"Visitanos en https://t.co/dtXV8h66CU
#Mercados #Dolar https://t.co/csNUlGWRXM",dolar,
4,,2355325052,1591076325812736000,2022-11-11 14:32:11+00:00,['1591076325812736000'],1591076325812736000,,"#EnMedios | ¿El precio del dólar en Colombia ha estado sobre devaluado? 

Nuestra opinión en @Portafolioco 

#ValuesAAA #InvestmentBanking #Economía #Dólar https://t.co/LWbZ19zcRL",dolar,
5,{'media_keys': ['7_1591075648738627585']},1022819839524700160,1591075795216523264,2022-11-11 14:30:04+00:00,['1591075795216523264'],1591075795216523264,,"#IndicadoresFinancieros #TipoDeCambio #Peso #Dólar 
Los datos sobre la inflación en EU que se encontraron en un nivel inferior a lo esperado, favoreció el comportamiento del peso frente a la divisa estadounidense, ubicándose en su menor nivel del 2022.
#MarvaInforma https://t.co/fhXWdGYNSP",dolar,
6,"{'media_keys': ['3_1577644563568656386', '3_1577644563577159680', '3_1577644563585433601', '3_1577644563572875265']}",1223451257660231680,1591075778116001792,2022-11-11 14:30:00+00:00,['1591075778116001792'],1591075778116001792,,"Invertí en Estados Unidos sin moverte de tu casa, Abrí tu cuenta desde https://t.co/dSbCy2fhDE y recibí asesoramiento sin cargo! #invertir #inversiones #bolsa #mercadodecapitales #ahorro #inversor #oportunidad #dólar #argentina #dinero #capital #acciones #bonos #fci #finanzas https://t.co/y5n4XOB9mj",dolar,
7,{'media_keys': ['3_1591073435060273153']},23377748,1591075777931608065,2022-11-11 14:30:00+00:00,['1591075777931608065'],1591075777931608065,,"El #dólar en #México cotiza en $18.55 pesos la compra y a $19.29 pesos la venta.

Baja ampliando las pérdidas del día anterior después de que la #inflación de #EU fuera menor de lo esperado, lo que disminuye la probabilidad de que la Fed suba la tasa de interés de forma agresiva. https://t.co/6fAFx3Toon",dolar,
8,{'media_keys': ['3_1577679443073671169']},1550525846158467072,1591075777034035200,2022-11-11 14:30:00+00:00,['1591075777034035200'],1591075777034035200,,Súmate a nuestro canal de Telegram desde https://t.co/vuSgu7LSd9 para recibir la cotización del Dólar en tu celular! #inflación #dolarlibre #blue #oficial #dólar #dolarmep #dolarblue #argentina #ahorro #devaluación #inversión #bolsa #CCL #mep https://t.co/1raJKa1Dxe,dolar,
9,{'media_keys': ['16_1591075007316332544']},99141179,1591075048890437635,2022-11-11 14:27:07+00:00,['1591075048890437635'],1591075048890437635,,"🟡 #Puebla | Precio del dólar este 11 de noviembre 👇

💸 Al inicio de la jornada de este viernes el #dólar encuentra en un precio promedio de 💸$19.39 pesos mexicanos.

#DolarHoy #Economia #BMV #Hoy https://t.co/XZH4uzhiEi",dolar,
10,{'media_keys': ['3_1591074351108935681']},1337523901799288833,1591074367097950208,2022-11-11 14:24:24+00:00,['1591074367097950208'],1591074367097950208,,"El tipo de cambio obtenido el día de hoy fue de $19.3940 M.N. (diecinueve pesos con tres mil novecientos cuarenta diezmilésimos moneda nacional) por un dólar de los EE.UU.A.
#abogado #contratos #TipoDeCambio #dolar #peso #negocios #empresa #lawyer #contract #business #legaldesign https://t.co/H3us4PzOMN",dolar,
11,,1550525846158467072,1591073520691605504,2022-11-11 14:21:02+00:00,['1591073520691605504'],1591073520691605504,,"Cotización MEP 298,59

Operá desde https://t.co/WuSDVX0WB3

#usd #Dolar #dolarmep #dolarblue #argentina #ahorro #bolsa #inversiones #devaluacion #inflacion #dolarbolsa #mep",dolar,
12,,1306629670356615168,1591073043392401413,2022-11-11 14:19:08+00:00,['1591073043392401413'],1591073043392401413,,"#Mercados
El #dólar cotiza a $ 167 en el Banco Nación y el riesgo país se mantiene en 2.484 puntos https://t.co/mDPZwEp177",dolar,
13,{'media_keys': ['3_1591072890329436162']},106503292,1591072892238041089,2022-11-11 14:18:32+00:00,['1591072892238041089'],1591072892238041089,,Hoy #viernes 11 de noviembre de 2022 el #tipodecambio promedio del #dólar en México es de $19.38 pesos. Vía https://t.co/hJ6s2goIRV https://t.co/sCXMZpDfPm,dolar,
14,,1551291859703562249,1591072776374583296,2022-11-11 14:18:05+00:00,['1591072776374583296'],1591072776374583296,,"Precio del dólar HOY 11/11/2022 11:21 en Argentina

Dólar Blue $292,00
Dólar Oficial $167,50
Dólar Ahorro $276,38
Dólar Turista $293,12
Dólar MEP $298,73
Dólar CCL $308,39
Dólar Qatar $335,00

🌐 Más info en: https://t.co/dqoIOCbSPs
#dolarblue #dolaroficial #dolarnube #dolar",dolar,
15,{'media_keys': ['7_1591071895822254080']},1574449762643988480,1591072280121348096,2022-11-11 14:16:06+00:00,['1591072280121348096'],1591072280121348096,,"INDICADORES DEL DÍA 11 DE NOVIEMBRE DE 2022 El precio del dolar a caido más de $200 pesos colombianos en menos de 36 h.
El bitcoin cae en menos de 48 h. más del 10% desde su precio más estable llegando casi a los 16 mil dolares
 #Noticias #indicadores #dolar #bitcoin #cripto https://t.co/tkCe9SN0CZ",dolar,
