,attachments,author_id,conversation_id,created_at,edit_history_tweet_ids,geo,id,in_reply_to_user_id,text,origen
0,{'media_keys': ['3_1591076807314382848']},203079215,1591076810468765696,2022-11-11 14:34:07+00:00,['1591076810468765696'],,1591076810468765696,,Los convocados por Pelegrini para jugar con #River el domingo a las 17 en Mza https://t.co/Gam5DysHQR,River
1,{'media_keys': ['3_1591076643682062336']},2777355469,1591076647712821249,2022-11-11 14:33:28+00:00,['1591076647712821249'],,1591076647712821249,,"#4años 
🤍❤
#River https://t.co/R21DwkiuzT",River
2,{'media_keys': ['3_1591076436475101185']},2883617649,1591076438576222208,2022-11-11 14:32:38+00:00,['1591076438576222208'],,1591076438576222208,,"🗣️💬 #River | Emanuel Mammana expresó su deseo de quedarse mucho tiempo más en el club. 

🎙️ @SuperMitre https://t.co/AsWm8cFn5w",River
3,{'media_keys': ['3_1591075905711095809']},828358302,1591075909645520899,2022-11-11 14:30:32+00:00,['1591075909645520899'],,1591075909645520899,,"🔙 4 años de la final de ida de la #Libertadores 2018 🏆

#River ⚪🔴 2-2 🔵🟡 #Boca https://t.co/Bho4Oe7RQ7",River
4,{'media_keys': ['7_1591075645903314946']},853684741891076096,1591075746898137095,2022-11-11 14:29:53+00:00,['1591075746898137095'],,1591075746898137095,,"A cuatro años de aquel 2 a 2, el camino de #River hacia la #GloriaEterna.
.
#copalibertadores 
#oso 
#superclásico
#pratto 
#madrid https://t.co/TdXZtdm47Y",River
5,,1465404238268403727,1591074473381613568,2022-11-11 14:24:49+00:00,['1591074473381613568'],,1591074473381613568,,"El hiver nos comparte hermosas fotografías de la Cascada Sherman ,  Ancaster Ontario.
#hive, #photography, #nature, #river 
 https://t.co/a8xYC7Yn3S",River
6,,1346274301285117954,1591073466417315907,2022-11-11 14:20:49+00:00,['1591073466417315907'],,1591073466417315907,,Peterborough distressed and dead swans spotted on river #Peterborough #distressed #dead #swans #spotted #river #englishheadline https://t.co/RF945G8lnb,River
7,,1191065009155129351,1591072582622916608,2022-11-11 14:17:19+00:00,['1591072582622916608'],,1591072582622916608,,¡De no creer! La AFA tomó una insólita decisión y los hinchas de #River estallaron https://t.co/UBozrXPoWp,River
8,,1590358889475854339,1591072298630778880,2022-11-11 14:16:11+00:00,['1591072298630778880'],,1591072298630778880,,Boquita pasión #river https://t.co/c1zYlGx5GT,River
9,,1307490415403241473,1591070237935669248,2022-11-11 14:11:39+00:00,['1591071158019162114'],,1591071158019162114,1.0945999525951201e+18,"@xLeandro7 @HernanSCastillo Cuanto aporte a la selección de parte de #River, después hay que escuchar al @cholosottile decir que boca saca más juveniles...par favarrr",River
