,attachments,author_id,conversation_id,created_at,edit_history_tweet_ids,geo,id,in_reply_to_user_id,text,origen
0,,89589379,1591077162874208256,2022-11-11 14:35:31+00:00,['1591077162874208256'],,1591077162874208256,,"La #inflación estuvo un poco por debajo de lo previsto, y luego salieron los cohetes: el mejor aumento porcentual de un día para el S&amp;P 500 desde el 6 de abril de 2020, y el mejor aumento porcentual de un día para el Nasdaq Composi…https://t.co/xb9DxdTKeo https://t.co/KsPOk0hUWk",inflacion
1,{'media_keys': ['3_1591076922750017537']},274218280,1591076991834406913,2022-11-11 14:34:50+00:00,['1591076991834406913'],,1591076991834406913,,"Vía @ElFinanciero_Mx:

-Sube Banxico tasa; ven menos duro su mensaje.
- #Inflación en #EU desacelera y dispara 'rally' en #WallStreet.
-#YoSiVoyALaMarcha por el INE será de las 'más numerosas': Creel. 
👇 https://t.co/Em7wNvBDMF",inflacion
2,{'media_keys': ['3_1591076276055457793']},234088034,1591076279511842818,2022-11-11 14:32:00+00:00,['1591076279511842818'],,1591076279511842818,,#WallStreet se pinta de verde tras dato de #inflación de #EstadosUnidos | https://t.co/YV9218tkqD https://t.co/tmNt99Rg0a,inflacion
3,{'media_keys': ['3_1591030153198665729']},270329897,1591075779365904384,2022-11-11 14:30:01+00:00,['1591075779365904384'],,1591075779365904384,,"Según señala el Banco Central Europeo (@ecb ) en su boletín económico mensual, la #inflación se mantendrá por encima del objetivo del 2% durante un período prolongado 👉 https://t.co/zVONjlRqpp
#Economía #Eurozona #IPC https://t.co/DzkgySO6OK",inflacion
4,{'media_keys': ['3_1591073435060273153']},23377748,1591075777931608065,2022-11-11 14:30:00+00:00,['1591075777931608065'],,1591075777931608065,,"El #dólar en #México cotiza en $18.55 pesos la compra y a $19.29 pesos la venta.

Baja ampliando las pérdidas del día anterior después de que la #inflación de #EU fuera menor de lo esperado, lo que disminuye la probabilidad de que la Fed suba la tasa de interés de forma agresiva. https://t.co/6fAFx3Toon",inflacion
5,{'media_keys': ['3_1577679443073671169']},1550525846158467072,1591075777034035200,2022-11-11 14:30:00+00:00,['1591075777034035200'],,1591075777034035200,,Súmate a nuestro canal de Telegram desde https://t.co/vuSgu7LSd9 para recibir la cotización del Dólar en tu celular! #inflación #dolarlibre #blue #oficial #dólar #dolarmep #dolarblue #argentina #ahorro #devaluación #inversión #bolsa #CCL #mep https://t.co/1raJKa1Dxe,inflacion
6,,137612440,1591075687905259520,2022-11-11 14:29:39+00:00,['1591075687905259520'],,1591075687905259520,,"Sigue #Banxico los pasos de la Fed y lleva su tasa de referencia a 10%   

Especialistas prevén que termine 2022 en 10.50 y alcance 10.75 en el primer trimestre de 2023
#inflación
https://t.co/e2flIzf8U1",inflacion
7,,187575776,1590759805752209408,2022-11-11 14:28:36+00:00,['1591075424200949761'],,1591075424200949761,7.483348289788396e+17,"@alferdezprensa @alferdez @EmmanuelMacron La guerra contra la #Inflacion la perdiste, no creo puedas ganar esta que implica armamento, militares, etc.",inflacion
8,{'media_keys': ['3_1591068099264102400']},30794597,1591075230394482692,2022-11-11 14:27:50+00:00,['1591075230394482692'],,1591075230394482692,,"📣 Resultados de la encuesta de expectativas económicas IMEF en noviembre 2022

➡️ https://t.co/zXJHOByHZ7

#PIB #Inflación #Tipodecambio #Economía #IndicadoresEconómicos #Finanzas https://t.co/CEN8zh5MxB",inflacion
9,,1240367080232439811,1591074528087736320,2022-11-11 14:25:02+00:00,['1591074528087736320'],,1591074528087736320,,"#PIB de UK se publica mejor a lo esperado y trae cierta calma. La economía británica se contrajo un -0,2% un mejor número a lo esperado en los tres meses hasta septiembre.

https://t.co/LdayzqaAAE 

#Inflacion #BOE #GBP #GBPUSD #FTSE #StockMarket #trading #traders",inflacion
